meta_datetime,params_batch,params_dropout,params_early_stopping,params_eps_decay,params_epsilon,params_gamma,params_layers,params_learning_rate,params_max_turns,params_min_epsilon,params_n_update,params_replay_nb_batch,params_reward_optimisation,params_soft_update,params_tau,params_verbose,scores_1000_average,scores_1000_maximum,scores_1000_minimum,scores_1000_weird_metric,scores_100_average,scores_100_maximum,scores_100_minimum,scores_100_weird_metric,scores_1100_average,scores_1100_maximum,scores_1100_minimum,scores_1100_weird_metric,scores_1200_average,scores_1200_maximum,scores_1200_minimum,scores_1200_weird_metric,scores_1300_average,scores_1300_maximum,scores_1300_minimum,scores_1300_weird_metric,scores_1400_average,scores_1400_maximum,scores_1400_minimum,scores_1400_weird_metric,scores_1500_average,scores_1500_maximum,scores_1500_minimum,scores_1500_weird_metric,scores_200_average,scores_200_maximum,scores_200_minimum,scores_200_weird_metric,scores_300_average,scores_300_maximum,scores_300_minimum,scores_300_weird_metric,scores_400_average,scores_400_maximum,scores_400_minimum,scores_400_weird_metric,scores_500_average,scores_500_maximum,scores_500_minimum,scores_500_weird_metric,scores_600_average,scores_600_maximum,scores_600_minimum,scores_600_weird_metric,scores_700_average,scores_700_maximum,scores_700_minimum,scores_700_weird_metric,scores_800_average,scores_800_maximum,scores_800_minimum,scores_800_weird_metric,scores_900_average,scores_900_maximum,scores_900_minimum,scores_900_weird_metric
05-03 16:28,100,0.1,False,0.995,0.9,0.9,"[4, 64, 128, 2]",0.005,500,0.01,25,2,False,True,0.1,2,180.90666666666667,183.39,179.34,85,9.333333333333334,9.38,9.29,4,177.24,178.52,174.76,83,183.30666666666667,184.69,181.85,86,181.04666666666665,183.24,176.59,84,187.01333333333332,187.88,185.59,88,186.2,186.98,185.0,88,11.06,11.13,11.02,5,96.63333333333334,97.63,95.21,45,157.86666666666667,164.49,155.2,73,155.74,159.46,153.63,73,183.32666666666665,188.02,178.99,85,179.18666666666667,181.99,175.39,83,182.92666666666668,185.65,182.54,86,178.86,181.09,176.0,83
05-03 16:28,100,0.1,False,0.995,0.9,0.9,"[4, 64, 128, 2]",0.005,500,0.01,25,2,False,True,0.1,2,180.90666666666667,183.39,179.34,85,9.333333333333334,9.38,9.29,4,177.24,178.52,174.76,83,183.30666666666667,184.69,181.85,86,181.04666666666665,183.24,176.59,84,187.01333333333332,187.88,185.59,88,185.60666666666665,187.08,184.35,87,11.06,11.13,11.02,5,96.63333333333334,97.63,95.21,45,157.86666666666667,164.49,155.2,73,155.74,159.46,153.63,73,183.32666666666665,188.02,178.99,85,179.18666666666667,181.99,175.39,83,182.92666666666668,185.65,182.54,86,178.86,181.09,176.0,83
